true,score_logreg,score_svm,score_knn,score_tree
0,0.6838323118389262,0.1459758922132581,0.7870625203619361,0.5
1,0.8019664930015233,0.23951136216346647,1.0,0.8333333333333334
0,0.38231536268978517,-0.24570062913594626,0.0,0.0
1,0.5067968902711661,-0.13705845260931404,0.0,0.10526315789473684
1,0.4887814853228123,-0.15414842753878605,0.0,0.10526315789473684
0,0.10850623768997787,-0.7908639502725556,0.0,0.0
0,0.4137489825934597,-0.1851425460657437,0.28305250733835746,0.36363636363636365
0,0.9610812556350091,0.8309732245457292,1.0,1.0
0,0.05573260692142539,-0.8728051580619451,0.0,0.1
0,0.16870812101386656,-0.5183903889486104,0.0,0.1
1,0.5047157448340802,-0.1034590544083582,0.6986311572872395,0.8333333333333334
1,0.7007809006927977,0.10439058786439061,1.0,0.8333333333333334
0,0.3106645528045737,-0.30148843992173197,0.6768801149872544,0.36363636363636365
0,0.7844597562616811,0.19518914755708222,1.0,0.9230769230769231
0,0.1607329845674549,-0.6111950938196284,0.6551030762589037,0.3157894736842105
1,0.7995737462729152,0.3318738413120008,1.0,1.0
0,0.5829976352153693,-0.08908426554987957,0.43530253628845866,0.9230769230769231
1,0.8148420365732302,0.2838550007368447,0.5518229498088394,0.8333333333333334
0,0.15733162842498727,-0.6311283719340599,0.5727559017583814,0.3157894736842105
1,0.9315003995859099,0.7084834048296923,1.0,1.0
0,0.1387965979100988,-0.6866973849345244,0.0,0.3157894736842105
1,0.2741983583895178,-0.4316307657690489,0.7974321503912238,0.6428571428571429
0,0.7200328863627121,0.23086772409489464,0.7019669306368397,0.7
1,0.8435461397628469,0.35576067103109765,1.0,1.0
0,0.6091259150534768,0.08409660987893586,1.0,0.7
1,0.8807726946788227,0.4232315787677907,1.0,1.0
0,0.2390803296581704,-0.37328700572861095,0.6258652300242156,0.36363636363636365
0,0.30578731149098387,-0.3423131679063307,0.0,0.0
1,0.5432289982269094,-0.09391118992211225,0.0,0.10526315789473684
1,0.07492333662873409,-0.8751354416965751,0.35624985676485105,0.0
1,0.5394664769368045,0.017143561702317067,0.6694140682409894,0.7
1,0.7115411005339504,0.09131653504179639,0.7303492207644942,0.9230769230769231
1,0.9022087382307392,0.5218241528226946,0.33783819472289717,0.7
0,0.48109823159851534,-0.15781287192842353,0.3761246344602671,0.10526315789473684
1,0.7394257309636612,0.10545511518231152,1.0,0.9230769230769231
0,0.7798198249521352,0.19834353977358513,1.0,0.9230769230769231
0,0.3225101797432522,-0.26987324695826326,0.7457466925496812,0.36363636363636365
0,0.5109929978066641,-0.04837658422938329,0.13160380247790274,0.7
1,0.6599320768749452,0.038957982884305034,0.5806641341164063,0.4
1,0.15190177478720043,-0.6342731320380497,0.7827597971359255,0.3157894736842105
0,0.27647237994614937,-0.41770266677957857,1.0,0.3157894736842105
0,0.1615582003774173,-0.6316973352711166,0.2333588617700668,0.3157894736842105
1,0.8883701442786262,0.4982066115825062,0.8071325759445485,1.0
0,0.6437414228244043,0.0764532819468309,0.6143264227495784,1.0
0,0.42459980797532754,-0.1590668055074727,0.7452854769070697,0.36363636363636365
0,0.2177899018154021,-0.5206651038918734,0.24828512321875207,0.3157894736842105
0,0.43795397193176655,-0.12634344417478316,0.21998937897056384,0.36363636363636365
1,0.7797263769722095,0.24991063496243557,0.6653996223477531,1.0
0,0.627681016450871,0.03796863449264111,0.6294933136256396,0.8333333333333334
1,0.9130246330591961,0.5515692812511741,0.9446943458624055,0.7
0,0.2995725324315277,-0.40886267072005655,0.0,0.10526315789473684
1,0.1520006059490442,-0.7215863629577174,0.0,0.0
0,0.3139168452228445,-0.384445941858386,0.3114689723191168,0.10526315789473684
0,0.19601518195752676,-0.5586165011266755,0.23316146256238823,0.3157894736842105
0,0.4365812483785322,-0.20756360988363604,0.310998139148534,0.10526315789473684
1,0.8832778778244983,0.45319961536556086,1.0,0.5
1,0.7472107282781548,0.19518971370624405,1.0,1.0
0,0.5149238367650751,-0.09401679410797889,0.6968937064817166,0.8333333333333334
0,0.5958670266749069,-0.016142556061882134,0.0,0.10526315789473684
0,0.5408062811032672,-0.036412202024021706,0.09499975098927009,0.36363636363636365
1,0.6871553894831722,0.10820349037158591,1.0,0.8333333333333334
