id,name
111,US West
112,US West
113,US West
114,US West
121,US East
122,US East
123,US East
124,US East
131,Europe West
132,Europe West
133,Europe West
134,Europe West
135,Europe West
136,Europe West
137,Europe West
138,Europe West
142,South Korea
143,South Korea
151,Southeast Asia
152,Southeast Asia
153,Southeast Asia
154,Southeast Asia
155,Southeast Asia
161,China
163,China
171,Australia
181,Russia
182,Russia
183,Russia
184,Russia
185,Russia
186,Russia
187,Russia
188,Russia
191,Europe East
192,Europe East
200,South America
202,South America
203,South America
204,South America
211,South Africa
212,South Africa
213,South Africa
221,China
222,China
223,China
224,China
225,China
231,China
242,Chile
251,Peru
261,India
